start: 86541 constraints, oracle holds
  test 526: g=64 try 213 rows -> REPRO (kept) [3,0s]
  test 527: g=2 try 106 rows -> lost [1,7s]
  test 528: g=2 try 107 rows -> lost [2,1s]
  test 529: g=4 try 159 rows -> lost [1,7s]
  test 530: g=4 try 159 rows -> lost [3,0s]
  test 531: g=4 try 159 rows -> lost [3,0s]
  test 532: g=4 try 162 rows -> lost [2,0s]
  test 533: g=8 try 186 rows -> lost [3,3s]
  test 534: g=8 try 186 rows -> lost [1,8s]
  test 535: g=8 try 186 rows -> lost [3,4s]
  test 536: g=8 try 186 rows -> lost [3,0s]
  test 537: g=8 try 186 rows -> lost [3,2s]
  test 538: g=8 try 186 rows -> lost [3,6s]
  test 539: g=8 try 186 rows -> lost [3,8s]
  test 540: g=8 try 189 rows -> lost [2,4s]
  test 541: g=16 try 199 rows -> lost [3,0s]
  test 542: g=16 try 199 rows -> lost [3,9s]
  test 543: g=16 try 199 rows -> lost [2,5s]
  test 544: g=16 try 199 rows -> lost [3,1s]
  test 545: g=16 try 199 rows -> lost [3,1s]
  test 546: g=16 try 199 rows -> lost [2,3s]
  test 547: g=16 try 199 rows -> lost [2,2s]
  test 548: g=16 try 199 rows -> lost [2,3s]
  test 549: g=16 try 199 rows -> lost [2,2s]
  test 550: g=16 try 199 rows -> lost [2,2s]
  test 551: g=16 try 199 rows -> lost [2,3s]
  test 552: g=16 try 199 rows -> lost [2,3s]
  test 553: g=16 try 199 rows -> lost [2,1s]
  test 554: g=16 try 199 rows -> lost [1,9s]
  test 555: g=16 try 199 rows -> lost [1,5s]
  test 556: g=16 try 210 rows -> REPRO (kept) [2,3s]
  test 557: g=2 try 105 rows -> lost [1,2s]
  test 558: g=2 try 105 rows -> lost [1,4s]
  test 559: g=4 try 157 rows -> lost [1,3s]
  test 560: g=4 try 157 rows -> lost [2,5s]
  test 561: g=4 try 157 rows -> lost [3,8s]
  test 562: g=4 try 159 rows -> lost [1,7s]
  test 563: g=8 try 183 rows -> lost [2,5s]
  test 564: g=8 try 183 rows -> lost [1,2s]
  test 565: g=8 try 183 rows -> lost [2,7s]
  test 566: g=8 try 183 rows -> lost [2,8s]
  test 567: g=8 try 183 rows -> lost [2,6s]
  test 568: g=8 try 183 rows -> lost [2,6s]
  test 569: g=8 try 183 rows -> lost [2,4s]
  test 570: g=8 try 189 rows -> lost [1,6s]
  test 571: g=16 try 196 rows -> lost [2,3s]
  test 572: g=16 try 196 rows -> lost [2,4s]
  test 573: g=16 try 196 rows -> lost [1,3s]
  test 574: g=16 try 196 rows -> lost [2,5s]
  test 575: g=16 try 196 rows -> lost [2,5s]
